index,time_s,qref1,qref2,qref3,qref4,qref5,qref6,qm1,qm2,qm3,qm4,qm5,qm6,qdotm1,qdotm2,qdotm3,qdotm4,qdotm5,qdotm6,qddotm1,qddotm2,qddotm3,qddotm4,qddotm5,qddotm6,qc1,qc2,qc3,qc4,qc5,qc6,tau_m1,tau_m2,tau_m3,tau_m4,tau_m5,tau_m6,tau_filtered_m1,tau_filtered_m2,tau_filtered_m3,tau_filtered_m4,tau_filtered_m5,tau_filtered_m6,motor_tau1,motor_tau2,motor_tau3,motor_tau4,motor_tau5,motor_tau6,motor_tau_filtered1,motor_tau_filtered2,motor_tau_filtered3,motor_tau_filtered4,motor_tau_filtered5,motor_tau_filtered6
0,0,-2.08167e-16,5.27356e-16,0.000479423,4.92317e-16,-2.01255e-16,6.10623e-16,1.79763e-06,3.39553e-06,0.000479569,3.1159e-06,4.79369e-07,-9.58738e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,1.21613e-06,-1.47808e-07,0.00047898,1.94786e-07,-2.25924e-07,-1.00464e-06,-10.8462,1.25669,-3.02148,1.88386,1.55771,-0.0911867,-10.9138,1.16913,-3.00351,1.87461,1.54213,-0.0626199,-0.0441,0.00126,0.0154,-0.0078,-0.0156,0.0164,-0.0442477,0.000348972,0.0157172,-0.0078821,-0.0157228,0.0161384
1,0.001,1.51546e-10,-1.71486e-11,0.000479424,2.14003e-10,4.23448e-11,-5.61246e-11,1.79763e-06,3.39553e-06,0.000479369,3.1159e-06,2.39684e-07,-9.58738e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,-2.08167e-16,5.27356e-16,0.000479423,4.92317e-16,-2.01255e-16,6.10623e-16,-10.8951,1.20875,-3.04565,1.83324,1.51161,-0.0235993,-10.9066,1.18442,-3.01977,1.85865,1.53036,-0.047563,-0.04221,0,0.0154,-0.008,-0.0162,0.016,-0.0434614,0.000214314,0.0155948,-0.00792759,-0.0159069,0.016085
2,0.002,1.21183e-09,-1.37532e-10,0.000479425,1.71302e-09,3.38758e-10,-4.49209e-10,1.99737e-06,3.39553e-06,0.000479369,3.1159e-06,2.39684e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,5.04479e-11,-5.70821e-12,0.000479424,7.12396e-11,1.4096e-11,-1.86828e-11,-10.8951,1.16081,-2.97314,1.87373,1.59227,-0.0235993,-10.9022,1.17531,-3.00178,1.86447,1.55425,-0.0383161,-0.04473,0,0.01595,-0.008,-0.0158,0.0156,-0.0439509,0.000131617,0.0157318,-0.00795553,-0.0158657,0.0158979
3,0.003,4.08811e-09,-4.65323e-10,0.000479428,5.78481e-09,1.1433e-09,-1.51678e-09,1.99737e-06,3.39553e-06,0.000479369,3.1159e-06,2.39684e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,4.41314e-10,-5.00724e-11,0.000479424,6.23777e-10,1.23361e-10,-1.63576e-10,-11.1396,1.11288,-2.87645,1.87373,1.54618,-0.113716,-10.9938,1.15122,-2.95342,1.86804,1.55114,-0.0674106,-0.04536,0,0.01595,-0.0078,-0.0158,0.0162,-0.0444946,8.08299e-05,0.015816,-0.00789552,-0.0158403,0.0160145
4,0.004,9.686e-09,-1.10571e-09,0.000479433,1.37201e-08,2.71003e-09,-3.597e-09,1.99737e-06,3.39553e-06,0.000479569,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,1.68825e-09,-1.92045e-10,0.000479425,2.38842e-09,4.721e-10,-6.2626e-10,-11.1885,1.017,-2.99731,1.85349,1.47704,-0.0686575,-11.0689,1.09943,-2.97035,1.86243,1.52255,-0.0678917,-0.04473,0.00063,0.01705,-0.008,-0.0154,0.0162,-0.0445855,0.000292738,0.0162922,-0.00793583,-0.0156704,0.016086
5,0.005,1.89095e-08,-2.16493e-09,0.000479442,2.68126e-08,5.29298e-09,-7.02862e-09,1.79763e-06,3.39553e-06,0.000479569,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,4.45575e-09,-5.08167e-10,0.000479428,6.3094e-09,1.24649e-09,-1.6542e-09,-11.1396,0.969066,-2.99731,1.86361,1.50009,-0.12498,-11.0962,1.04913,-2.98076,1.86288,1.51388,-0.0899205,-0.04347,0.00189,0.0165,-0.0082,-0.0158,0.0162,-0.044155,0.000909073,0.0163724,-0.00803777,-0.0157204,0.01613
6,0.006,3.26608e-08,-3.7502e-09,0.000479456,4.6359e-08,9.1462e-09,-1.2151e-08,1.79763e-06,3.39553e-06,0.000479569,3.1159e-06,2.39684e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,9.50059e-09,-1.08634e-09,0.000479433,1.34653e-08,2.65882e-09,-3.52996e-09,-11.2862,1.16081,-3.02148,1.82312,1.51161,-0.0799221,-11.1695,1.09222,-2.99647,1.84754,1.51301,-0.0860624,-0.04536,0.00441,0.01595,-0.0082,-0.0162,0.0162,-0.04462,0.00225997,0.0162094,-0.00810037,-0.0159055,0.016157
7,0.007,5.18407e-08,-5.96981e-09,0.000479475,7.3659e-08,1.45237e-08,-1.93043e-08,1.79763e-06,3.39553e-06,0.000479569,3.1159e-06,2.39684e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,1.76358e-08,-2.02186e-09,0.000479441,2.50187e-08,4.93748e-09,-6.55799e-09,-10.8462,1.16081,-3.06983,1.92435,1.46552,-0.0235993,-11.0448,1.11869,-3.02478,1.87718,1.49468,-0.0619598,-0.0441,0.00252,0.01595,-0.0082,-0.016,0.016,-0.0444193,0.00236031,0.0161093,-0.00813881,-0.0159419,0.0160964
8,0.008,7.73481e-08,-8.93305e-09,0.000479501,1.10015e-07,2.16795e-08,-2.88289e-08,1.5979e-06,3.19579e-06,0.000479369,3.1159e-06,2.39684e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,2.97082e-08,-3.41497e-09,0.000479453,4.21847e-08,8.32077e-09,-1.10564e-08,-11.1396,1.06494,-2.97314,1.82312,1.52314,-0.00107013,-11.0814,1.09795,-3.00485,1.85632,1.50566,-0.0384643,-0.0441,0,0.0154,-0.0084,-0.016,0.0162,-0.0442961,0.00144954,0.0158356,-0.0082396,-0.0159643,0.0161364
9,0.009,1.1008e-07,-1.27503e-08,0.000479533,1.56733e-07,3.08676e-08,-4.10662e-08,1.5979e-06,2.79632e-06,0.000479369,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,4.65849e-08,-5.36935e-09,0.00047947,6.62121e-08,1.3053e-08,-1.7352e-08,-11.0907,1.017,-2.97314,1.87373,1.53466,-0.00107013,-11.085,1.06671,-2.99261,1.86304,1.51685,-0.024035,-0.04599,0,0.01485,-0.0082,-0.016,0.0162,-0.0449497,0.000890206,0.0154553,-0.00822432,-0.0159781,0.0161609
